RecordNumber;customerId;Name;Surname;CustomerAddress;ZipCode;NationalID;DateOfBirth;Street;City
1;263731;;;Paris Avenue Montaigne;75722;54853;1/14/1990;Avenue Montaigne;Paris
2;619826;;;Toulouse Avenue Victor Hugo;87012;62869;4/22/1971;Avenue Victor Hugo;Toulouse
3;498898;;;Paris Rue Lafayette;76767;30443;4/23/1984;Rue Lafayette;Paris
4;164168;;;Strasbourg Rue des Martyrs;28992;41569;9/16/1985;Rue des Martyrs;Strasbourg
5;274328;;;Strasbourg Rue de la République;74771;9593446933;8/17/1980;Rue de la République;Strasbourg
6;470720;;;Marseille Rue de la République;92287;1227078693;6/24/1972;Rue de la République;Marseille
7;770903;;;Nice Boulevard Saint-Germain;36376;4350974451;9/25/2005;Boulevard Saint-Germain;Nice
8;796754;;;Marseille Rue Lafayette;92811;541441656;4/15/1980;Rue Lafayette;Marseille
9;291518;;;Nice Rue Lafayette;6362;80057;1/21/1971;Rue Lafayette;Nice
10;666503;;;Lyon Boulevard Saint-Germain;16554;8885381627;7/5/2002;Boulevard Saint-Germain;Lyon
11;770330;;;Nice Rue de la République;92507;8273090515;10/9/1989;Rue de la République;Nice
12;398303;;;Lyon Rue de la République;26237;67262;10/21/1987;Rue de la République;Lyon
13;316572;;;Strasbourg Boulevard Saint-Germain;54120;7176017814;5/2/1973;Boulevard Saint-Germain;Strasbourg
14;979443;;;Marseille Rue de Rivoli;5327;5281472703;3/2/1989;Rue de Rivoli;Marseille
15;854861;;;Paris Avenue Victor Hugo;29787;94440;9/11/1990;Avenue Victor Hugo;Paris
16;404097;;;Lyon Avenue des Champs-Élysées;13432;1739727749;6/27/1980;Avenue des Champs-Élysées;Lyon
17;300306;;;Paris Avenue des Champs-Élysées;72472;88758;11/24/1996;Avenue des Champs-Élysées;Paris
18;620266;;;Nice Rue de la République;96638;99543;8/17/1987;Rue de la République;Nice
19;353528;;;Toulouse Avenue des Champs-Élysées;97579;7631403623;8/16/1971;Avenue des Champs-Élysées;Toulouse
20;625496;;;Marseille Avenue Montaigne;89838;29279;3/20/1983;Avenue Montaigne;Marseille
21;756671;Gabriel;Leroy;Toulouse Rue des Martyrs;53111;101215;7/27/2030;Rue des Martyrs;Toulouse
22;267409;Hugo;Leroy;Strasbourg Rue de la République;42535;58471;7/31/2029;Rue de la République;Strasbourg
23;567930;Lucas;Dubois;Strasbourg Boulevard Saint-Germain;7819;26285;5/4/2031;Boulevard Saint-Germain;Strasbourg
24;498898;Emma;Robert;Lyon Rue de la République;89165;105459;7/14/2033;Rue de la République;Lyon
25;220565;Manon;Martin;Toulouse Avenue des Champs-Élysées;2326;4248378599;11/11/2029;Avenue des Champs-Élysées;Toulouse
26;606136;Emma;Richard;Lyon Rue de la Paix;59827;7101557789;2/18/2031;Rue de la Paix;Lyon
27;654353;Chloé;Bernard;Paris Rue de la Paix;33429;74227;10/16/2025;Rue de la Paix;Paris
28;845456;Lucas;Simon;Marseille Rue de Rivoli;5330;697569330;4/30/2028;Rue de Rivoli;Marseille
29;846749;Manon;Moreau;Toulouse Rue de Rivoli;78128;3620803731;10/3/2024;Rue de Rivoli;Toulouse
30;706890;Inès;Bernard;Strasbourg Boulevard Haussmann;9133;9858694034;12/25/2027;Boulevard Haussmann;Strasbourg
31;173922;Lucas;Dubois;Toulouse Avenue Montaigne;80989;6662483990;10/20/2028;Avenue Montaigne;Toulouse
32;111957;Lucas;Petit;Nice Boulevard Haussmann;11206;7027246525;8/9/2026;Boulevard Haussmann;Nice
33;479134;Chloé;Bernard;Paris Avenue Montaigne;72893;49016;10/23/2025;Avenue Montaigne;Paris
34;594569;Rose;Thomas;Lyon Rue de la Paix;61941;8564273258;3/16/2029;Rue de la Paix;Lyon
35;682444;Inès;Durand;Marseille Avenue Victor Hugo;93405;83587;1/22/2033;Avenue Victor Hugo;Marseille
36;973683;Gabriel;Robert;Nice Rue de Rivoli;57510;59268;10/22/2032;Rue de Rivoli;Nice
37;251659;Chloé;Robert;Nice Avenue Montaigne;40606;78960;3/11/2032;Avenue Montaigne;Nice
38;439523;Camille;Durand;Nice Rue Lafayette;41726;4199562729;3/19/2030;Rue Lafayette;Nice
39;489157;Jade;Simon;Strasbourg Rue de Rivoli;82072;80702;2/16/2026;Rue de Rivoli;Strasbourg
40;770903;Gabriel;Robert;Toulouse Boulevard Saint-Germain;85066;75634;8/6/2031;Boulevard Saint-Germain;Toulouse
41;233042;Milo;Dubois;Paris Rue Lafayette;3083;17511;9/19/2024;Rue Lafayette;Paris
